"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.000817422009270357,2409
2013,2,0.00448543833230383,2559
2013,3,0.00775995839274752,2345
2013,4,0.0296037698340406,2664
2014,1,0.021631319942299,2614
2014,2,0.0179173390782549,2599
2014,3,0.00884202350963684,2813
2014,4,0.00506872349616595,2708
2015,1,-0.0013281370697393,2983
2015,2,-0.00508730041778166,2917
2015,3,0.00212700443421919,2745
2015,4,-0.0256255679207063,2883
2016,1,-0.0907969258725206,2749
2016,2,-0.0117010996302232,2939
2016,3,-0.0307503397940825,3011
2016,4,0.0175094350494828,2920
2017,1,0.00944397865528384,3133
2017,2,0.0218465875279224,3052
2017,3,0.0328918826482106,3248
2017,4,0.0275064478793533,3163
2018,1,0.00847506163790241,3016
2018,2,-0.013348935076331,3207
2018,3,-0.0224535740941433,3028
2018,4,-0.0231755634686395,3082
2019,1,-0.0330791907968037,2894
2019,2,-0.0060371747030381,2722
2019,3,-0.00214914053848432,2961
2019,4,-0.0123788902521333,2795
2020,1,-0.0289498371264552,2460
2020,2,-0.0111403379392932,2155
2020,3,-0.0348788310524308,2091
2020,4,-0.0472605800921708,2122
2021,1,-0.0525264153615287,1800
2021,2,-0.0772359675065702,1136
2021,3,-0.0887379037453049,1478
2021,4,-0.0821737004409447,1435
2022,1,-0.00931880606888112,1137
2022,2,0.00388989453569034,1466
2022,3,0.0339374244927568,2124
2022,4,0.0445810244469743,2368
2023,1,0.0231661077809764,2466
2023,2,0.0435109522903314,2732
2023,3,0.0250957722929117,2753
2023,4,-0.00812639734461158,2660
2024,1,0.0168887380876948,2643
2024,2,0.0233823771149113,2669
2024,3,0.0271682903121153,2954
2024,4,0.020100658415,2843
2025,1,0.0272157084021172,2633
2025,2,0.0208223272396451,2832
2025,3,0.0160281682104316,2871
