"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.00958039246788251,2888
2013,2,0.0134917672372682,3052
2013,3,0.0218392997127725,3060
2013,4,0.0296037698340406,3095
2014,1,0.0141417026336123,2981
2014,2,0.0058508258948853,3156
2014,3,-0.00386943233707743,3278
2014,4,-0.00689693256374691,3285
2015,1,-0.0190074935926204,3264
2015,2,-0.0203116882908037,3340
2015,3,-0.0667891065094167,3628
2015,4,-0.0612981043076165,3471
2016,1,-0.0666375248082952,3434
2016,2,-0.0316422667944259,3606
2016,3,-0.0294881415552181,3516
2016,4,-0.00590300246820043,3593
2017,1,0.00758446436914515,3532
2017,2,0.00822196636088353,3642
2017,3,0.0102551465318764,3802
2017,4,0.00932672475200243,3887
2018,1,-0.00949566797199728,3648
2018,2,-0.0174858368160531,3645
2018,3,-0.0293487135025878,3626
2018,4,-0.0263176529047327,3851
2019,1,-0.0338059728238743,3597
2019,2,-0.0349595219985839,3509
2019,3,-0.0241580538552454,3637
2019,4,-0.0258521581906751,3462
2020,1,-0.0303582820186633,3309
2020,2,-0.0135474886193989,2810
2020,3,-0.0222836286558588,2790
2020,4,-0.0360220606350386,2844
2021,1,-0.049708184840889,2388
2021,2,-0.0737353488256905,1266
2021,3,-0.0880360244680404,1827
2021,4,-0.0904804258918415,1570
2022,1,-0.030782486706994,1237
2022,2,-0.0239867722276807,1697
2022,3,0.00859741230532124,2353
2022,4,0.0376293543355632,2703
2023,1,0.0182531934138113,2853
2023,2,0.0395188119163042,3003
2023,3,0.0355078813102741,3123
2023,4,0.0345718381720773,2941
2024,1,0.0216692933291341,2963
2024,2,0.028687234529846,3095
2024,3,0.0230322343443695,3233
2024,4,0.0149250518682351,3005
2025,1,0.0151825926177442,3067
2025,2,0.01600905463707,3146
2025,3,0.0208261543207582,3194
