"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0230167834030001,3051
2013,2,0.0134917672372681,3302
2013,3,0.0256707759863719,3314
2013,4,0.0302266444536805,3152
2014,1,0.0130223047597301,3287
2014,2,0.00689108798386139,3390
2014,3,0.00425129038903544,3597
2014,4,0.00415456730883048,3597
2015,1,0.00603774883788015,3466
2015,2,0.00164622475894871,3395
2015,3,-0.00719972930586738,3608
2015,4,-0.0164707702147945,3261
2016,1,-0.0095589594730751,3326
2016,2,0.0162517307052769,3318
2016,3,0.0147601137942669,3329
2016,4,0.0330045025883077,3398
2017,1,0.00758446436914531,3337
2017,2,0.0200690924330199,3466
2017,3,0.0320351029576361,3505
2017,4,0.0336850423661242,3191
2018,1,-0.00197235138045382,3166
2018,2,-0.0124093149337853,3233
2018,3,-0.0243342234718588,3189
2018,4,-0.0230957389123221,3283
2019,1,0.00100830453606687,3044
2019,2,0.00104405389794234,2968
2019,3,0.00999508898843054,3030
2019,4,0.005223090589016,2948
2020,1,-0.0077815153819161,2770
2020,2,0.0167488773102121,2139
2020,3,0.00590337435470022,2000
2020,4,-0.0181133913399133,2102
2021,1,-0.0471684286735295,1822
2021,2,-0.0588518660711614,1096
2021,3,-0.0780550773758817,1562
2021,4,-0.0821737004409449,1265
2022,1,-0.0130305856398942,1016
2022,2,-0.0190904509496445,1426
2022,3,0.0108298244635142,2115
2022,4,0.0381190128676762,2306
2023,1,0.0221617973146937,2381
2023,2,0.0448144136010194,2641
2023,3,0.0408980306573716,2571
2023,4,0.0364122977163374,2445
2024,1,0.0340324980703309,2582
2024,2,0.0299718772422566,2672
2024,3,0.023909359849446,2830
2024,4,0.0187811149792533,2643
2025,1,0.0208679565472994,2651
2025,2,0.0209010944049235,2624
