"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0126828901237024,7032
2013,2,0.000346111850801801,7326
2013,3,-0.000388957226869775,7526
2013,4,-0.00208154755846017,7306
2014,1,-0.00402690109202445,7509
2014,2,-0.018458434644402,7826
2014,3,-0.0270642269567815,7858
2014,4,-0.0577244475487624,7980
2015,1,-0.0634111036224512,8015
2015,2,-0.0690493446304892,7982
2015,3,-0.0770025386885367,8124
2015,4,-0.0822798047281205,7801
2016,1,-0.0793961367061309,7922
2016,2,-0.0702085567274894,8037
2016,3,-0.0706964288051455,8203
2016,4,-0.0525215882986732,8270
2017,1,-0.0436397001280639,7878
2017,2,-0.0308628477442971,8072
2017,3,-0.0193878168947213,8447
2017,4,-0.0201455206220439,8474
2018,1,-0.0178977368559967,8173
2018,2,-0.0300078910827641,8045
2018,3,-0.0417203012506622,8087
2018,4,-0.0420063002348431,8478
2019,1,-0.0398413770310997,8259
2019,2,-0.0407108476594148,8360
2019,3,-0.0299002626116843,8649
2019,4,-0.0319841985971215,8298
2020,1,-0.0303582820186634,8074
2020,2,-0.0212930215373687,6853
2020,3,-0.0225177340499984,6642
2020,4,-0.034980119005818,6481
2021,1,-0.0471684286735294,5183
2021,2,-0.0653235989368796,3226
2021,3,-0.083059189564555,4012
2021,4,-0.0839366740895538,3699
2022,1,-0.0603502785719562,3175
2022,2,-0.0148261763464354,3983
2022,3,0.00193452033610473,5483
2022,4,0.0297030423927194,6280
2023,1,0.0154205644735601,6510
2023,2,0.0251446709363913,6784
2023,3,0.0206495265651853,6791
2023,4,-0.000804325701658329,6615
2024,1,0.0179481235737822,6655
2024,2,0.0181017680272543,7122
2024,3,0.0100233100461516,7432
2024,4,0.00683432836304906,7158
2025,1,0.00916901427305488,7379
2025,2,0.00218684228890613,7660
